TOP.6621ee28.000ab87e	START
TOP.6621ee2a.0007b53f	folder_config->install_dir	/Users/chloefox/projects/agent-python/crackers/1
TOP.6621ee2a.0007b53f	folder_config->profile_dir	/Users/chloefox/projects/agent-python/crackers/1
TOP.6621ee2a.0007b53f	folder_config->session_dir	/Users/chloefox/projects/agent-python/crackers/1
TOP.6621ee2a.0007b53f	folder_config->shared_dir	/Users/chloefox/projects/agent-python/crackers/1
TOP.6621ee2a.0007b53f	user_options->encoding_from	utf-8
TOP.6621ee2a.0007b53f	user_options->encoding_to	utf-8
TOP.6621ee2a.0007b53f	user_options->outfile	/Users/chloefox/projects/agent-python/hashlists/20.out
TOP.6621ee2a.0007b53f	user_options->outfile_check_dir	/Users/chloefox/projects/agent-python/hashlist_20
TOP.6621ee2a.0007b53f	user_options->rp_files[0]	/Users/chloefox/projects/agent-python/files/OneRuleToRuleThemStill.rule
TOP.6621ee2a.0007b53f	user_options->rule_buf_l	:
TOP.6621ee2a.0007b53f	user_options->rule_buf_r	:
TOP.6621ee2a.0007b53f	user_options->session	hashtopolis
TOP.6621ee2a.0007b53f	user_options->separator		
TOP.6621ee2a.0007b53f	user_options->limit	815
TOP.6621ee2a.0007b53f	user_options->skip	0
TOP.6621ee2a.0007b53f	user_options->attack_mode	0
TOP.6621ee2a.0007b53f	user_options->benchmark	0
TOP.6621ee2a.0007b53f	user_options->benchmark_all	0
TOP.6621ee2a.0007b53f	user_options->bitmap_max	18
TOP.6621ee2a.0007b53f	user_options->bitmap_min	16
TOP.6621ee2a.0007b53f	user_options->debug_mode	0
TOP.6621ee2a.0007b53f	user_options->hash_info	0
TOP.6621ee2a.0007b53f	user_options->force	0
TOP.6621ee2a.0007b53f	user_options->hwmon_disable	0
TOP.6621ee2a.0007b53f	user_options->hwmon_temp_abort	100
TOP.6621ee2a.0007b53f	user_options->hash_mode	0
TOP.6621ee2a.0007b53f	user_options->hex_charset	0
TOP.6621ee2a.0007b53f	user_options->hex_salt	0
TOP.6621ee2a.0007b53f	user_options->hex_wordlist	0
TOP.6621ee2a.0007b53f	user_options->hook_threads	8
TOP.6621ee2a.0007b53f	user_options->identify	0
TOP.6621ee2a.0007b53f	user_options->increment	0
TOP.6621ee2a.0007b53f	user_options->increment_max	256
TOP.6621ee2a.0007b53f	user_options->increment_min	1
TOP.6621ee2a.0007b53f	user_options->keep_guessing	0
